assertion_id,company_id,cause_code,source_id,assertion_type,confidence,evidence_quote,analyst_note
sentar-team,sentar,team,sentar-lasse,explicit_founder_statement,high,we never agreed on how to “play startup” until we decided to shut down Sentar.,Founders describe unresolved decision-making conflict.
sentar-operations,sentar,operations,sentar-lasse,explicit_founder_statement,high,we just argued until someone won.,Founders describe their decision process.
helmet-team,helmet,team,helmet-khan-2025,explicit_founder_statement,high,"With Tim’s departure for financial and family reasons, we’ve made the difficult decision to stop operations",Co-founder directly links departure to closure.
helmet-funding,helmet,funding,helmet-khan-2025,explicit_founder_statement,medium,we both faced financial pressure.,Co-founder reports financial pressure; not described as the sole cause.
skillstackers-unit-economics,skillstackers,unit_economics,skillstackers-choco,explicit_founder_statement,high,we ultimately decided to shutdown after realizing a couple of challenges inherent in the current business model we had,Founder’s shutdown explanation.
skillstackers-competition,skillstackers,competition,skillstackers-choco,explicit_founder_statement,medium,questions on the defensibility of the product we were building,Founder identifies defensibility uncertainty.
skillstackers-team,skillstackers,team,skillstackers-choco,explicit_founder_statement,medium,and for several personal reasons as well.,Founder records personal reasons without further attribution.
bre-x-fraud,bre-x,fraud,bre-x-cim-2019,contemporaneous_reporting,high,"samples had been salted with gold from other sources",CIM reported the fraud mechanism but did not attribute it to a named individual.
davidstea-unit-economics,davidstea,unit_economics,davidstea-company-2020,explicit_founder_statement,high,"closure of 124 unprofitable stores across North America",Company identifies unprofitable stores in its restructuring announcement.
davidstea-timing,davidstea,timing,davidstea-company-2020,explicit_founder_statement,high,"further exacerbated by the COVID-19 pandemic",Company identified the pandemic as aggravating the retail environment.
quadriga-fraud,quadriga,fraud,quadriga-osc-2020,court_or_regulatory_finding,high,"The downfall of crypto asset trading platform QuadrigaCX (Quadriga) resulted from a fraud",OSC Staff conclusion; the report is not an OSC tribunal or court finding.
quadriga-governance,quadriga,governance,quadriga-osc-2020,court_or_regulatory_finding,high,"Quadriga did not maintain proper accounting records from 2016 onward.",OSC Staff review identified deficient accounting records; report limitation noted in source metadata.
target-canada-operations,target-canada,operations,target-canada-star-2015,contemporaneous_reporting,high,"significant problems" keeping the shelves fully stocked,Contemporaneous report quotes court-filed Target Canada statement.
target-canada-pmf,target-canada,pmf,target-canada-star-2015,contemporaneous_reporting,high,"Canadian consumers did not embrace the Target shopping experience in Canada",Contemporaneous report quotes Mark Wong affidavit filed in Ontario Superior Court.
target-canada-focus,target-canada,focus,target-canada-star-2015,contemporaneous_reporting,high,it opened too many stores too fast,Contemporaneous report summarizes Target Canada court filing.
zenn-pmf,zenn,pmf,zenn-cbc-2009,contemporaneous_reporting,high,"decision to halt production on the vehicle came down to sales",CBC News reports CEO Ian Clifford attributed the production halt to sales.
taiga-motors-funding,taiga-motors,funding,taiga-globe-2024,contemporaneous_reporting,medium,"after running out of money in its bid to scale up production",Contemporaneous reporting described the terminal funding constraint; it does not establish an upstream root cause.
