source_id,source_url,title,publisher,source_type,published_date,accessed_date,evidence_quality,notes
taiga-globe-2024,https://theglobeandmail.com/business/article-electric-snowmobile-maker-taiga-files-for-protection-under-ccaa,Electric snowmobile maker Taiga files for protection under CCAA,The Globe and Mail,journalism,2024-07-10,2026-09-13,B,Contemporaneous report states Taiga ran out of money while trying to scale production.
lion-newswire-2025,https://newswire.ca/news-releases/lion-electric-announces-completion-of-reorganization-transaction-891388757.html,Lion Electric Announces Completion of Reorganization Transaction,Lion Electric,company_statement,2025-05-23,2026-09-13,A,Company announcement describes the court-supervised CCAA reorganization transaction and its completion.
frank-and-oak-pwc-2024,https://pwc.com/ca/en/car/ucg-canada-holdings/assets/ucg-canada-holdings-en-001_23122024.pdf,Notice of Filing of Intention to Make a Proposal,PricewaterhouseCoopers Inc.,court_filing,2024-12-16,2026-09-13,A,Trustee notice identifies UCG Canada Holdings Inc. doing business as Frank And Oak and its BIA NOI filing.
just-for-laughs-pwc-2024,https://pwc.com/ca/en/car/just-for-laughs/assets/justforlaughs-027_280324.pdf,Amended Application for an Amended and Restated Initial Order,PricewaterhouseCoopers Inc.,court_filing,2024-03-20,2026-09-13,A,Court material records the March 15 2024 CCAA conversion and initial order for the Just for Laughs Group.
le-chateau-pwc-2020,https://pwc.com/ca/en/car/le-chateau/assets/lechateau-009_103020.pdf,Notice to Creditors of the Initial Order,PricewaterhouseCoopers Inc.,court_filing,2020-10-23,2026-09-13,A,Monitor notice records the Quebec Superior Court CCAA initial order for Le Château Inc. and Château Stores Inc.
beyond-the-rack-richter-2016,https://richter.ca/wp-content/uploads/Insolvency-Cases/en/0-9/7098961-Canada-Inc/Amended-Claims-and-Meeting-Procedure/08-Amended-report-on-plan-20160616.pdf,Report on the State of the Debtor’s Financial Affairs and the Amended Plan of Compromise,Richter Advisory Group Inc.,court_filing,2016-06-16,2026-09-13,A,Monitor report records the March 24 2016 CCAA initial order for 7098961 Canada Inc. formerly known as Beyond The Rack Enterprises Inc.
plastube-qcna-2025,https://qcna.qc.ca/blindsided-plastube-employees-consider-next-chapter/,Blindsided Plastube employees consider next chapter,Quebec Community Newspapers Association,journalism,2025-08-25,2026-09-15,B,Local Journalism Initiative report on the Granby plant’s sudden bankruptcy and closure.
cooperative-bellevue-cbc-2023,https://www.cbc.ca/news/canada/montreal/sainte-anne-de-bellevue-grocery-closes-1.6714475,Closure of Montreal suburb's only grocery store 'a big loss for the community',CBC News,journalism,2023-01-14,2026-09-15,B,CBC report on the Marché Richelieu bankruptcy and closure.
metro-media-cbc-2023,https://www.cbc.ca/news/canada/montreal/metro-media-bankruptcy-1.6969803,Métro Média to declare bankruptcy as local journalism takes another hit,CBC News,journalism,2023-09-17,2026-09-15,B,CBC report quoting the CEO on liquidity and the bankruptcy decision.
ebenisterie-st-urbain-osb-2023,https://ised-isde.canada.ca/site/bureau-surintendant-faillites/fr/liste-procedures-sous-lacc/registre-lacc-ebenisterie-st-urbain-ltee-woodlore-international-inc,Registre de la LACC ÉBÉNISTERIE ST-URBAIN LTÉE; ET WOODLORE INTERNATIONAL INC.,Office of the Superintendent of Bankruptcy Canada,court_filing,2023-05-12,2026-09-15,A,Official CCAA registry listing the Quebec initial order and debtor names.
south-shore-furniture-cbc-2026,https://www.cbc.ca/news/canada/montreal/south-shore-furniture-9.7178591,"Quebec-based South Shore Furniture to close, blames U.S. tariffs and Asian dumping",CBC News,journalism,2026-04-27,2026-09-15,B,CBC report quoting company statements on closure and market conditions.
hotel-suites-lac-brome-tempo-2023,https://tempolacbrome.ca/2023/06/01/les-principaux-creanciers-interviennent-a-lancien-quilliams/,Les principaux créanciers interviennent à l’ancien Quilliams,Tempo Lac-Brome,journalism,2023-06-01,2026-09-15,B,Local report on the holding company bankruptcy and the hotel subsidiary’s insolvency.
brant-instore-printcan-2023,https://www.printcan.com/news/2023/20230104057.shtml,Brant Instore Put Into Receivership and Sold,PrintCAN,journalism,2023-01-04,2026-09-15,B,Industry report on receivership sale financial losses and customer loss.
joriki-am-2025,https://www.alvarezandmarsal.com/Joriki,Joriki,Alvarez & Marsal Canada Inc.,court_filing,2025-01-28,2026-09-15,A,Monitor page records the BIA NOI and Ontario CCAA initial order.
